Date,Temperature of Daytime,Temperature of Nightime,Humidity of Daytime,Humidity of Nightime,Rain or Not,Succulent_water,Cactus_water,Fern_water,Fruit_water,Foliage_water,Cycas & Conifer_water,Palm_water,Nurturing_water,Other_water,Total_water,Succulent ,Cactus,Fern,Fruit,Foliage,Cycas & Conifer,Palm,Nurturing,Other,Total,Succulent _percentage,Cactus_precentage,Fern_percentage,Fruit_percentage,Foliage_percentage,Cycas & Conifer_percentage,Palm_percentage,Nurturing_percentage,Other_percentage,Total_percentage
10/12/2022,18.2,17.4,48,33 ,No,2,0,0,3,6,1,0,8,2,22,34,11,13,5,21,3,3,19,4,113,5.88,0,0,60,28.57,33.33,0,42.11,50,19.47
11/12/2022,17.1,15.9,38,46 ,No,0,0,0,0,0,0,0,2,0,2,34,11,13,5,21,3,3,17,4,111,0,0,0,0,0,0,0,11.76,0,1.8
12/12/2022,16.4,15.2,44,57 ,No,10,0,0,0,1,1,0,0,0,12,34,11,13,5,21,3,3,16,4,110,29.41,0,0,0,4.76,33.33,0,0,0,10.91
13/12/2022,15.2,13.4,30,68 ,Yes,6,11,7,0,5,0,0,16,2,47,34,11,13,5,21,3,3,16,4,110,17.65,100,53.85,0,23.81,0,0,100,50,42.73
14/12/2022,13.2,13.3,62,60 ,Yes,0,0,0,0,0,0,0,0,0,0,34,11,13,5,21,3,3,15,4,109,0,0,0,0,0,0,0,0,0,0
15/12/2022,13.4,13.9,84,91 ,Yes,0,0,0,0,7,0,0,3,1,11,34,11,13,5,21,3,3,15,4,109,0,0,0,0,33.33,0,0,20,25,10.09
16/12/2022,15.4,15.2,96,87 ,Yes,0,0,0,0,4,0,0,3,0,7,34,11,13,5,21,3,3,15,4,109,0,0,0,0,19.05,0,0,20,0,6.42
17/12/2022,13.6,13,37,10 ,No,0,0,0,2,4,1,0,5,2,14,34,11,13,5,21,3,3,15,4,109,0,0,0,40,19.05,33.33,0,33.33,50,12.84
18/12/2022,12.4,12.7,10,10 ,No,7,0,2,0,0,0,0,4,2,15,34,11,13,5,21,3,3,15,4,109,20.59,0,15.38,0,0,0,0,26.67,50,13.76
19/12/2022,12.9,12.4,10,21 ,No,2,0,3,0,0,0,0,0,0,5,34,11,13,5,21,3,3,15,4,109,5.88,0,23.08,0,0,0,0,0,0,4.59
20/12/2022,15.2,16.1,32,34 ,Yes,1,1,4,0,3,1,0,0,1,11,34,11,13,5,21,3,3,15,4,109,2.94,9.09,30.77,0,14.29,33.33,0,0,25,10.09
21/12/2022,16.8,16.2,28,27 ,No,13,0,1,1,5,0,1,17,1,39,38,11,13,5,21,3,3,17,4,114,34.21,0,7.69,20,23.81,0,33.33,100,25,34.21
22/12/2022,16.8,16.4,10,26 ,No,0,0,1,0,0,0,0,13,1,15,38,11,13,5,21,3,3,17,4,114,0,0,7.69,0,0,0,0,76.47,25,13.16
23/12/2022,17.4,17,10,17 ,No,0,0,0,0,2,0,0,11,0,13,38,11,13,5,21,4,3,17,4,115,0,0,0,0,9.52,0,0,64.71,0,11.3
24/12/2022,18,18.7,10,21 ,No,0,0,0,2,2,2,0,4,2,12,38,11,13,5,21,4,3,17,4,115,0,0,0,40,9.52,50,0,23.53,50,10.43
25/12/2022,17,18.6,10,25 ,No,0,0,4,0,1,0,0,13,2,20,38,11,13,5,21,4,3,17,4,115,0,0,30.77,0,4.76,0,0,76.47,50,17.39
26/12/2022,,17.2,,40 ,No,0,0,0,0,1,0,0,0,1,2,38,11,13,5,21,4,3,17,4,115,0,0,0,0,4.76,0,0,0,25,1.74
27/12/2022,17.1,17.5,28,39 ,No,7,0,2,1,2,0,1,14,2,29,38,11,13,5,21,4,3,17,4,115,18.42,0,15.38,20,9.52,0,33.33,82.35,50,25.22
28/12/2022,,17.4,,28 ,No,0,0,0,0,2,0,0,0,1,3,38,11,13,5,21,4,3,17,4,115,0,0,0,0,9.52,0,0,0,25,2.61
29/12/2022,15.4,16,35,41 ,Yes,0,0,1,0,5,0,0,7,1,14,38,11,13,5,21,4,3,17,4,115,0,0,7.69,0,23.81,0,0,41.18,25,12.17
30/12/2022,13.8,14.5,40,41 ,No,0,0,3,0,0,0,0,10,2,15,38,11,13,5,21,4,3,17,4,115,0,0,23.08,0,0,0,0,58.82,50,13.04
31/12/2022,14.1,14.3,47,49 ,No,0,0,1,2,1,2,0,0,1,7,38,11,13,5,21,4,3,17,4,115,0,0,7.69,40,4.76,50,0,0,25,6.09
1/1/2023,14.5,16,50,57 ,No,21,11,0,0,0,0,0,0,0,32,38,11,13,5,21,4,3,17,4,115,55.26,100,0,0,0,0,0,0,0,27.83
2/1/2023,16.8,16.8,55,53 ,No,0,0,1,0,1,0,0,1,1,4,38,11,13,5,21,4,3,17,4,115,0,0,7.69,0,4.76,0,0,5.88,25,3.48
3/1/2023,,16.9,0,59 ,No,0,0,1,0,0,0,0,3,0,4,38,11,13,5,21,4,3,17,4,115,0,0,7.69,0,0,0,0,17.65,0,3.48
4/1/2023,16.7,16.9,57,67 ,No,3,0,0,0,1,2,0,14,2,22,38,11,13,5,21,4,3,17,4,115,7.89,0,0,0,4.76,50,0,82.35,50,19.13
5/1/2023,18.5,19.2,58,62 ,No,0,0,0,0,6,0,0,3,0,9,38,11,13,5,21,4,3,17,4,115,0,0,0,0,28.57,0,0,17.65,0,7.83
6/1/2023,20.2,19.4,44,42 ,No,0,0,6,0,3,0,0,0,2,11,37,11,13,5,21,4,3,17,4,114,0,0,46.15,0,14.29,0,0,0,50,9.65
7/1/2023,19.8,20.4,31,36 ,No,5,0,0,0,0,0,0,0,0,5,37,11,13,5,21,4,3,21,4,118,13.51,0,0,0,0,0,0,0,0,4.24
8/1/2023,20,17.9,43,71 ,No,1,0,2,3,1,1,0,21,1,30,37,11,13,5,21,4,3,21,4,118,2.7,0,15.38,60,4.76,25,0,100,25,25.42
9/1/2023,17.7,17.4,77,90 ,Yes,0,0,0,0,1,0,0,0,1,2,37,11,13,5,21,4,3,21,4,118,0,0,0,0,4.76,0,0,0,25,1.69
10/1/2023,17.8,17.6,88,84 ,Yes,0,0,1,0,0,0,0,0,0,1,37,11,13,5,21,4,3,21,4,118,0,0,7.69,0,0,0,0,0,0,0.85
11/1/2023,17.8,18.5,89,87 ,Yes,0,0,0,0,4,0,0,1,1,6,37,11,13,5,21,4,3,21,4,118,0,0,0,0,19.05,0,0,4.76,25,5.08
12/1/2023,19.4,20,89,95 ,Yes,0,0,0,0,1,1,0,0,1,3,37,11,13,5,21,4,3,21,4,118,0,0,0,0,4.76,25,0,0,25,2.54
13/1/2023,21.5,21.9,99,97 ,Yes,0,0,0,0,0,0,0,1,0,1,37,11,13,5,21,4,3,22,4,119,0,0,0,0,0,0,0,4.55,0,0.84
14/1/2023,23.6,23.2,89,85 ,No,0,0,0,0,0,0,0,0,0,0,37,11,13,5,21,4,3,22,4,119,0,0,0,0,0,0,0,0,0,0
15/1/2023,17.8,14.5,58,47 ,Yes,11,11,3,0,6,0,0,11,2,44,37,11,13,5,21,4,3,22,4,119,29.73,100,23.08,0,28.57,0,0,50,50,36.97
16/1/2023,12.3,,42,,No,0,0,0,0,0,0,0,0,0,0,37,11,13,5,21,4,3,22,4,119,0,0,0,0,0,0,0,0,0,0
17/1/2023,12.1,11.8,50,50 ,No,0,0,0,0,0,0,0,6,1,7,37,11,13,5,21,4,3,22,4,119,0,0,0,0,0,0,0,27.27,25,5.88
18/1/2023,12.8,13.3,31,38 ,No,14,0,6,0,8,1,2,16,0,47,37,11,13,5,21,4,3,22,4,119,37.84,0,46.15,0,38.1,25,66.67,72.73,0,39.5
19/1/2023,14.7,15.3,35,42 ,No,0,0,1,0,1,2,0,6,1,11,37,11,13,5,21,4,3,22,4,119,0,0,7.69,0,4.76,50,0,27.27,25,9.24
20/1/2023,16.2,16.5,37,47 ,No,0,0,0,0,0,0,0,0,0,0,37,11,13,5,21,4,3,22,4,119,0,0,0,0,0,0,0,0,0,0
21/1/2023,18,18.2,54,67 ,No,0,0,1,2,5,0,0,22,1,31,37,11,13,5,21,4,3,22,4,119,0,0,7.69,40,23.81,0,0,100,25,26.05
22/1/2023,20.1,19.9,67,76 ,No,1,0,3,0,3,0,0,10,1,18,37,11,13,5,21,4,3,22,4,119,2.7,0,23.08,0,14.29,0,0,45.45,25,15.13
23/1/2023,,19.2,,55 ,No,0,0,0,0,0,0,0,0,0,0,37,11,13,5,21,4,3,22,4,119,0,0,0,0,0,0,0,0,0,0
24/1/2023,16.6,14.4,25,10 ,No,0,0,0,0,0,0,0,1,1,2,37,11,13,5,21,4,3,22,4,119,0,0,0,0,0,0,0,4.55,25,1.68
25/1/2023,12.4,12.4,10,34 ,No,36,11,3,1,2,1,0,22,3,79,37,11,13,5,21,4,3,22,4,119,97.3,100,23.08,20,9.52,25,0,100,75,66.39
26/1/2023,15.1,16,34,51 ,No,0,0,1,0,4,1,0,1,1,8,37,11,13,5,21,4,3,22,4,119,0,0,7.69,0,19.05,25,0,4.55,25,6.72
27/1/2023,15.2,12.8,15,10 ,No,0,0,0,0,0,0,0,0,1,1,37,11,13,5,21,4,3,22,4,119,0,0,0,0,0,0,0,0,25,0.84
28/1/2023,14.2,13.7,10,10 ,No,1,0,4,2,3,0,0,7,1,18,40,11,13,5,20,4,3,19,4,118,2.5,0,30.77,40,15,0,0,36.84,25,15.25
29/1/2023,14.3,14,10,10 ,No,0,0,1,0,1,0,0,0,1,3,40,11,13,5,20,4,3,19,4,118,0,0,7.69,0,5,0,0,0,25,2.54
30/1/2023,16.5,15.9,10,25 ,No,1,0,1,0,1,1,0,16,1,21,40,11,13,5,20,4,3,19,4,118,2.5,0,7.69,0,5,25,0,84.21,25,17.8
31/1/2023,18.8,18.5,25,57 ,No,0,0,2,0,3,1,0,1,1,8,40,11,12,5,20,4,3,19,4,117,0,0,16.67,0,15,25,0,5.26,25,6.84
1/2/2023,21,20.9,66,69 ,No,0,0,3,0,1,1,0,5,1,11,39,11,12,5,20,4,3,19,4,116,0,0,25,0,5,25,0,26.32,25,9.48
2/2/2023,23,21.5,61,60 ,No,0,0,0,0,2,0,0,1,1,4,39,11,12,5,19,4,3,19,4,115,0,0,0,0,10.53,0,0,5.26,25,3.48
3/2/2023,20.9,20.5,57,67 ,No,9,0,0,0,0,0,0,3,1,13,39,11,12,5,19,4,3,19,4,115,23.08,0,0,0,0,0,0,15.79,25,11.3
4/2/2023,,19.2,,75 ,Yes,0,0,1,0,3,0,0,0,1,5,39,11,12,5,19,4,3,19,4,115,0,0,8.33,0,15.79,0,0,0,25,4.35
5/2/2023,18.1,18.3,86,86 ,Yes,0,0,0,0,1,0,0,0,0,1,39,11,12,5,19,4,3,19,4,115,0,0,0,0,5.26,0,0,0,0,0.87
6/2/2023,20.2,20.1,82,87 ,No,0,0,1,2,1,0,0,2,1,7,39,11,12,5,19,4,3,19,4,115,0,0,8.33,40,5.26,0,0,10.53,25,6.09
7/2/2023,21.6,21.2,84,86 ,No,0,2,0,0,0,0,0,0,0,2,39,12,12,5,19,4,3,19,4,116,0,16.67,0,0,0,0,0,0,0,1.72
8/2/2023,21.8,21.4,71,73 ,No,0,0,2,0,0,1,0,10,1,14,39,12,12,5,19,4,3,19,4,116,0,0,16.67,0,0,25,0,52.63,25,12.07
9/2/2023,24.1,22.8,64,70 ,No,20,12,4,1,3,0,3,12,1,56,39,12,12,5,19,4,3,19,4,116,51.28,100,33.33,20,15.79,0,100,63.16,25,48.28
10/2/2023,23.1,22.8,76,80 ,No,0,0,1,0,0,0,0,0,0,1,39,12,12,5,19,4,3,19,4,116,0,0,8.33,0,0,0,0,0,0,0.86
11/2/2023,22.6,23.2,67,72 ,No,0,0,0,0,0,0,0,1,1,2,39,12,12,5,19,4,3,18,4,115,0,0,0,0,0,0,0,5.56,25,1.74
12/2/2023,24.5,23.4,70,76 ,No,0,0,0,0,3,2,0,3,1,9,39,12,12,5,19,4,3,18,4,115,0,0,0,0,15.79,50,0,16.67,25,7.83
13/2/2023,,21.2,,69 ,Yes,0,0,4,2,0,1,0,3,1,11,39,12,12,5,19,4,3,18,4,115,0,0,33.33,40,0,25,0,16.67,25,9.57
14/2/2023,18.8,16.7,42,40 ,Yes,0,0,0,0,0,0,0,7,2,9,39,12,12,5,19,4,3,18,4,115,0,0,0,0,0,0,0,38.89,50,7.83
15/2/2023,18.4,16.1,27,37 ,No,0,0,2,0,2,1,0,4,1,10,39,12,12,5,19,4,3,18,4,115,0,0,16.67,0,10.53,25,0,22.22,25,8.7
16/2/2023,19.2,18.5,29,34 ,No,0,0,0,0,2,0,0,1,1,4,39,12,12,5,19,4,3,18,4,115,0,0,0,0,10.53,0,0,5.56,25,3.48
17/2/2023,21.7,20.7,41,49 ,No,27,0,5,3,2,0,0,9,1,47,48,12,13,7,18,4,3,11,4,120,56.25,0,38.46,42.86,11.11,0,0,81.82,25,39.17
18/2/2023,24.5,23.1,40,56 ,No,0,0,1,0,1,0,0,9,1,12,48,12,13,7,18,4,3,11,4,120,0,0,7.69,0,5.56,0,0,81.82,25,10
19/2/2023,26.4,22.8,68,41 ,No,0,0,1,0,0,0,0,9,1,11,48,12,13,7,18,4,3,11,4,120,0,0,7.69,0,0,0,0,81.82,25,9.17
20/2/2023,23.8,,22,,No,0,0,2,2,4,0,2,9,1,20,48,12,13,7,18,4,3,11,4,120,0,0,15.38,28.57,22.22,0,66.67,81.82,25,16.67
21/2/2023,23.8,20.4,19,37 ,No,0,0,0,2,5,0,0,11,1,19,48,12,13,7,18,4,3,11,4,120,0,0,0,28.57,27.78,0,0,100,25,15.83
22/2/2023,22.2,22.4,24,44 ,No,32,12,5,0,2,1,0,9,1,62,48,12,13,7,18,4,3,11,4,120,66.67,100,38.46,0,11.11,25,0,81.82,25,51.67
23/2/2023,22,21.5,36,31 ,No,0,0,0,1,1,1,0,9,1,13,48,12,13,7,18,4,3,11,4,120,0,0,0,14.29,5.56,25,0,81.82,25,10.83
24/2/2023,22.8,20.7,31,33 ,No,1,0,3,2,5,1,2,9,2,25,48,12,13,7,18,4,3,11,4,120,2.08,0,23.08,28.57,27.78,25,66.67,81.82,50,20.83
25/2/2023,19.5,16.3,25,33 ,No,0,0,1,0,0,0,0,9,1,11,48,12,13,7,18,4,3,11,4,120,0,0,7.69,0,0,0,0,81.82,25,9.17
26/2/2023,19.3,18.6,24,32 ,No,9,0,0,0,3,0,0,9,1,22,48,12,13,7,18,4,3,11,4,120,18.75,0,0,0,16.67,0,0,81.82,25,18.33
