Year ended June,Region,Region Code,Measure,Value,Value Unit,Value Label,Null Reason
1995,Nelson,Nelson Region,Precipitation,815,number,Millions of cubic metres per year,
1995,Marlborough,Marlborough Region,Precipitation,20151,number,Millions of cubic metres per year,
1995,South Island,Total South Island,Precipitation,398182,number,Millions of cubic metres per year,
1995,New Zealand,Total New Zealand,Precipitation,609284,number,Millions of cubic metres per year,
1995,Northland,Northland Region,Total change in water storage,364,number,Millions of cubic metres per year,
1995,Auckland,Auckland Region,Total change in water storage,95,number,Millions of cubic metres per year,
1995,Waikato,Waikato Region,Total change in water storage,-4,number,Millions of cubic metres per year,
1995,Bay of Plenty,Bay of Plenty Region,Total change in water storage,102,number,Millions of cubic metres per year,
1995,Gisborne,Gisborne Region,Total change in water storage,205,number,Millions of cubic metres per year,
1995,Hawke's Bay,Hawke's Bay Region,Total change in water storage,161,number,Millions of cubic metres per year,
1995,Taranaki,Taranaki Region,Total change in water storage,-106,number,Millions of cubic metres per year,
1995,Manawatū-Whanganui,Manawatu-Wanganui Region,Total change in water storage,274,number,Millions of cubic metres per year,
1995,Wellington,Wellington Region,Total change in water storage,299,number,Millions of cubic metres per year,
1995,North Island,Total North Island,Total change in water storage,1390,number,Millions of cubic metres per year,
1995,West Coast,West Coast Region,Total change in water storage,-262,number,Millions of cubic metres per year,
1995,Canterbury,Canterbury Region,Total change in water storage,1551,number,Millions of cubic metres per year,
1995,Otago,Otago Region,Total change in water storage,-71,number,Millions of cubic metres per year,
1995,Southland,Southland Region,Total change in water storage,-390,number,Millions of cubic metres per year,
1995,Tasman,Tasman Region,Total change in water storage,-314,number,Millions of cubic metres per year,
1995,Nelson,Nelson Region,Total change in water storage,3,number,Millions of cubic metres per year,
1995,Marlborough,Marlborough Region,Total change in water storage,-13,number,Millions of cubic metres per year,
1995,South Island,Total South Island,Total change in water storage,504,number,Millions of cubic metres per year,
1995,New Zealand,Total New Zealand,Total change in water storage,1894,number,Millions of cubic metres per year,
1995,Northland,Northland Region,Total inflows,20240,number,Millions of cubic metres per year,
1995,Auckland,Auckland Region,Total inflows,7798,number,Millions of cubic metres per year,
1995,Waikato,Waikato Region,Total inflows,42342,number,Millions of cubic metres per year,
1995,Bay of Plenty,Bay of Plenty Region,Total inflows,35010,number,Millions of cubic metres per year,
1995,Gisborne,Gisborne Region,Total inflows,23895,number,Millions of cubic metres per year,
1995,Hawke's Bay,Hawke's Bay Region,Total inflows,23896,number,Millions of cubic metres per year,
1995,Taranaki,Taranaki Region,Total inflows,15413,number,Millions of cubic metres per year,
1995,Manawatū-Whanganui,Manawatu-Wanganui Region,Total inflows,36823,number,Millions of cubic metres per year,
1995,Wellington,Wellington Region,Total inflows,16353,number,Millions of cubic metres per year,
1995,North Island,Total North Island,Total inflows,211102,number,Millions of cubic metres per year,
1995,West Coast,West Coast Region,Total inflows,173126,number,Millions of cubic metres per year,
1995,Canterbury,Canterbury Region,Total inflows,82923,number,Millions of cubic metres per year,
1995,Otago,Otago Region,Total inflows,56184,number,Millions of cubic metres per year,
1995,Southland,Southland Region,Total inflows,77233,number,Millions of cubic metres per year,
1995,Tasman,Tasman Region,Total inflows,28709,number,Millions of cubic metres per year,
1995,Nelson,Nelson Region,Total inflows,821,number,Millions of cubic metres per year,
1995,Marlborough,Marlborough Region,Total inflows,30213,number,Millions of cubic metres per year,
1995,South Island,Total South Island,Total inflows,398182,number,Millions of cubic metres per year,
1995,New Zealand,Total New Zealand,Total inflows,609284,number,Millions of cubic metres per year,
1995,Northland,Northland Region,Total outflows,19876,number,Millions of cubic metres per year,
1995,Auckland,Auckland Region,Total outflows,7703,number,Millions of cubic metres per year,
1995,Waikato,Waikato Region,Total outflows,42347,number,Millions of cubic metres per year,
1995,Bay of Plenty,Bay of Plenty Region,Total outflows,34908,number,Millions of cubic metres per year,
1995,Gisborne,Gisborne Region,Total outflows,23690,number,Millions of cubic metres per year,
1995,Hawke's Bay,Hawke's Bay Region,Total outflows,23736,number,Millions of cubic metres per year,
1995,Taranaki,Taranaki Region,Total outflows,15520,number,Millions of cubic metres per year,
1995,Manawatū-Whanganui,Manawatu-Wanganui Region,Total outflows,36549,number,Millions of cubic metres per year,
1995,Wellington,Wellington Region,Total outflows,16054,number,Millions of cubic metres per year,
1995,North Island,Total North Island,Total outflows,209711,number,Millions of cubic metres per year,
1995,West Coast,West Coast Region,Total outflows,173388,number,Millions of cubic metres per year,
1995,Canterbury,Canterbury Region,Total outflows,81372,number,Millions of cubic metres per year,
1995,Otago,Otago Region,Total outflows,56255,number,Millions of cubic metres per year,
1995,Southland,Southland Region,Total outflows,77623,number,Millions of cubic metres per year,
1995,Tasman,Tasman Region,Total outflows,29023,number,Millions of cubic metres per year,
1995,Nelson,Nelson Region,Total outflows,818,number,Millions of cubic metres per year,
1995,Marlborough,Marlborough Region,Total outflows,30226,number,Millions of cubic metres per year,
1995,South Island,Total South Island,Total outflows,397678,number,Millions of cubic metres per year,
1995,New Zealand,Total New Zealand,Total outflows,607390,number,Millions of cubic metres per year,
1995,Northland,Northland Region,Change in groundwater,199,number,Millions of cubic metres per year,
1995,Auckland,Auckland Region,Change in groundwater,-7,number,Millions of cubic metres per year,
1995,Waikato,Waikato Region,Change in groundwater,-123,number,Millions of cubic metres per year,
1995,Bay of Plenty,Bay of Plenty Region,Change in groundwater,-98,number,Millions of cubic metres per year,
1995,Gisborne,Gisborne Region,Change in groundwater,29,number,Millions of cubic metres per year,
1995,Hawke's Bay,Hawke's Bay Region,Change in groundwater,34,number,Millions of cubic metres per year,
1995,Taranaki,Taranaki Region,Change in groundwater,-152,number,Millions of cubic metres per year,
1995,Manawatū-Whanganui,Manawatu-Wanganui Region,Change in groundwater,-7,number,Millions of cubic metres per year,
1995,Wellington,Wellington Region,Change in groundwater,-15,number,Millions of cubic metres per year,
1995,North Island,Total North Island,Change in groundwater,-140,number,Millions of cubic metres per year,
1995,West Coast,West Coast Region,Change in groundwater,-47,number,Millions of cubic metres per year,
1995,Canterbury,Canterbury Region,Change in groundwater,-28,number,Millions of cubic metres per year,
1995,Otago,Otago Region,Change in groundwater,297,number,Millions of cubic metres per year,
1995,Southland,Southland Region,Change in groundwater,-208,number,Millions of cubic metres per year,
1995,Tasman,Tasman Region,Change in groundwater,-276,number,Millions of cubic metres per year,
1995,Nelson,Nelson Region,Change in groundwater,,number,Millions of cubic metres per year,not applicable
1995,Marlborough,Marlborough Region,Change in groundwater,-66,number,Millions of cubic metres per year,
1995,South Island,Total South Island,Change in groundwater,-328,number,Millions of cubic metres per year,
1995,New Zealand,Total New Zealand,Change in groundwater,-468,number,Millions of cubic metres per year,
1996,Northland,Northland Region,Change in ice volume,,number,Millions of cubic metres per year,not applicable
1996,Auckland,Auckland Region,Change in ice volume,,number,Millions of cubic metres per year,not applicable
1996,Waikato,Waikato Region,Change in ice volume,0,number,Millions of cubic metres per year,
1996,Bay of Plenty,Bay of Plenty Region,Change in ice volume,,number,Millions of cubic metres per year,not applicable
1996,Gisborne,Gisborne Region,Change in ice volume,,number,Millions of cubic metres per year,not applicable
1996,Hawke's Bay,Hawke's Bay Region,Change in ice volume,,number,Millions of cubic metres per year,not applicable
1996,Taranaki,Taranaki Region,Change in ice volume,,number,Millions of cubic metres per year,not applicable
1996,Manawatū-Whanganui,Manawatu-Wanganui Region,Change in ice volume,0,number,Millions of cubic metres per year,
1996,Wellington,Wellington Region,Change in ice volume,,number,Millions of cubic metres per year,not applicable
1996,North Island,Total North Island,Change in ice volume,0,number,Millions of cubic metres per year,
1996,West Coast,West Coast Region,Change in ice volume,-103,number,Millions of cubic metres per year,
1996,Canterbury,Canterbury Region,Change in ice volume,-132,number,Millions of cubic metres per year,
1996,Otago,Otago Region,Change in ice volume,-15,number,Millions of cubic metres per year,
1996,Southland,Southland Region,Change in ice volume,-4,number,Millions of cubic metres per year,
1996,Tasman,Tasman Region,Change in ice volume,,number,Millions of cubic metres per year,not applicable
1996,Nelson,Nelson Region,Change in ice volume,,number,Millions of cubic metres per year,not applicable
1996,Marlborough,Marlborough Region,Change in ice volume,0,number,Millions of cubic metres per year,
1996,South Island,Total South Island,Change in ice volume,-254,number,Millions of cubic metres per year,
1996,New Zealand,Total New Zealand,Change in ice volume,-255,number,Millions of cubic metres per year,
1996,Northland,Northland Region,Change in snow,0,number,Millions of cubic metres per year,
1996,Auckland,Auckland Region,Change in snow,0,number,Millions of cubic metres per year,
1996,Waikato,Waikato Region,Change in snow,0,number,Millions of cubic metres per year,
1996,Bay of Plenty,Bay of Plenty Region,Change in snow,0,number,Millions of cubic metres per year,
1996,Gisborne,Gisborne Region,Change in snow,0,number,Millions of cubic metres per year,
1996,Hawke's Bay,Hawke's Bay Region,Change in snow,-4,number,Millions of cubic metres per year,
1996,Taranaki,Taranaki Region,Change in snow,1,number,Millions of cubic metres per year,
1996,Manawatū-Whanganui,Manawatu-Wanganui Region,Change in snow,24,number,Millions of cubic metres per year,
1996,Wellington,Wellington Region,Change in snow,40,number,Millions of cubic metres per year,
1996,North Island,Total North Island,Change in snow,60,number,Millions of cubic metres per year,
1996,West Coast,West Coast Region,Change in snow,766,number,Millions of cubic metres per year,
1996,Canterbury,Canterbury Region,Change in snow,-146,number,Millions of cubic metres per year,
1996,Otago,Otago Region,Change in snow,70,number,Millions of cubic metres per year,
1996,Southland,Southland Region,Change in snow,243,number,Millions of cubic metres per year,
1996,Tasman,Tasman Region,Change in snow,25,number,Millions of cubic metres per year,
1996,Nelson,Nelson Region,Change in snow,0,number,Millions of cubic metres per year,
1996,Marlborough,Marlborough Region,Change in snow,-32,number,Millions of cubic metres per year,
1996,South Island,Total South Island,Change in snow,927,number,Millions of cubic metres per year,
1996,New Zealand,Total New Zealand,Change in snow,987,number,Millions of cubic metres per year,
1996,Northland,Northland Region,Change in soil moisture,20,number,Millions of cubic metres per year,
1996,Auckland,Auckland Region,Change in soil moisture,3,number,Millions of cubic metres per year,
1996,Waikato,Waikato Region,Change in soil moisture,46,number,Millions of cubic metres per year,
1996,Bay of Plenty,Bay of Plenty Region,Change in soil moisture,-41,number,Millions of cubic metres per year,
1996,Gisborne,Gisborne Region,Change in soil moisture,-103,number,Millions of cubic metres per year,
1996,Hawke's Bay,Hawke's Bay Region,Change in soil moisture,-48,number,Millions of cubic metres per year,
1996,Taranaki,Taranaki Region,Change in soil moisture,-9,number,Millions of cubic metres per year,
1996,Manawatū-Whanganui,Manawatu-Wanganui Region,Change in soil moisture,-288,number,Millions of cubic metres per year,
1996,Wellington,Wellington Region,Change in soil moisture,-238,number,Millions of cubic metres per year,
1996,North Island,Total North Island,Change in soil moisture,-657,number,Millions of cubic metres per year,
1996,West Coast,West Coast Region,Change in soil moisture,168,number,Millions of cubic metres per year,
1996,Canterbury,Canterbury Region,Change in soil moisture,-99,number,Millions of cubic metres per year,
1996,Otago,Otago Region,Change in soil moisture,8,number,Millions of cubic metres per year,
1996,Southland,Southland Region,Change in soil moisture,45,number,Millions of cubic metres per year,
1996,Tasman,Tasman Region,Change in soil moisture,24,number,Millions of cubic metres per year,
1996,Nelson,Nelson Region,Change in soil moisture,-2,number,Millions of cubic metres per year,
1996,Marlborough,Marlborough Region,Change in soil moisture,-33,number,Millions of cubic metres per year,
1996,South Island,Total South Island,Change in soil moisture,112,number,Millions of cubic metres per year,
1996,New Zealand,Total New Zealand,Change in soil moisture,-546,number,Millions of cubic metres per year,
1996,Northland,Northland Region,Change in lakes,0,number,Millions of cubic metres per year,
1996,Auckland,Auckland Region,Change in lakes,-1,number,Millions of cubic metres per year,
1996,Waikato,Waikato Region,Change in lakes,69,number,Millions of cubic metres per year,
1996,Bay of Plenty,Bay of Plenty Region,Change in lakes,-7,number,Millions of cubic metres per year,
1996,Gisborne,Gisborne Region,Change in lakes,0,number,Millions of cubic metres per year,
1996,Hawke's Bay,Hawke's Bay Region,Change in lakes,-21,number,Millions of cubic metres per year,
1996,Taranaki,Taranaki Region,Change in lakes,0,number,Millions of cubic metres per year,
1996,Manawatū-Whanganui,Manawatu-Wanganui Region,Change in lakes,-6,number,Millions of cubic metres per year,
1996,Wellington,Wellington Region,Change in lakes,-47,number,Millions of cubic metres per year,
1996,North Island,Total North Island,Change in lakes,-15,number,Millions of cubic metres per year,
1996,West Coast,West Coast Region,Change in lakes,0,number,Millions of cubic metres per year,
1996,Canterbury,Canterbury Region,Change in lakes,177,number,Millions of cubic metres per year,
1996,Otago,Otago Region,Change in lakes,66,number,Millions of cubic metres per year,
1996,Southland,Southland Region,Change in lakes,177,number,Millions of cubic metres per year,
1996,Tasman,Tasman Region,Change in lakes,-4,number,Millions of cubic metres per year,
1996,Nelson,Nelson Region,Change in lakes,0,number,Millions of cubic metres per year,
1996,Marlborough,Marlborough Region,Change in lakes,0,number,Millions of cubic metres per year,
1996,South Island,Total South Island,Change in lakes,415,number,Millions of cubic metres per year,
1996,New Zealand,Total New Zealand,Change in lakes,401,number,Millions of cubic metres per year,
1996,Northland,Northland Region,Evapotranspiration,8690,number,Millions of cubic metres per year,
1996,Auckland,Auckland Region,Evapotranspiration,2894,number,Millions of cubic metres per year,
1996,Waikato,Waikato Region,Evapotranspiration,16444,number,Millions of cubic metres per year,
1996,Bay of Plenty,Bay of Plenty Region,Evapotranspiration,9932,number,Millions of cubic metres per year,
1996,Gisborne,Gisborne Region,Evapotranspiration,6037,number,Millions of cubic metres per year,
1996,Hawke's Bay,Hawke's Bay Region,Evapotranspiration,8168,number,Millions of cubic metres per year,
