Date(NZST),Rainfall(mm),Deficit(mm)
20191024,7.2,0
20191025,14.8,0
20191026,0.8,1.3
20191027,0,3.5
20191028,12.4,0
20191029,6.4,0
20191030,1.6,0.5
20191031,1,1.7
20191101,5.2,0
20191102,0.2,3.3
20191103,0,6.8
20191104,0,10.2
20191105,0,13.7
20191106,0,17.2
20191107,9.8,10.9
20191108,25.4,0
20191109,0,3.5
20191110,22.2,0
20191111,33.2,0
20191112,0.4,3.1
20191113,0,6.6
20191114,39.6,0
20191115,7,0
20191116,4.2,0
20191117,12.4,0
20191118,9.6,0
20191119,4.6,0
20191120,16.4,0
20191121,1.4,2.1
20191122,0,5.6
20191123,0,9
20191124,0,12.5
20191125,0,16
20191126,0,19.5
20191127,0,23
20191128,0,26.5
20191129,0,29.9
20191130,0,33.4
20191201,0.2,36.7
20191202,15.8,24.2
20191203,89,0
20191204,11.8,0
20191205,24.6,0
20191206,0,3.3
20191207,3.8,2.7
20191208,23.8,0
20191209,13,0
20191210,0,3.3
20191211,0,6.5
20191212,0,9.8
20191213,0,13.1
20191214,1.6,14.8
20191215,0,18
20191216,4.2,17.1
20191217,32.6,0
20191218,20.6,0
20191219,0,3.3
20191220,33.6,0
20191221,12.6,0
20191222,0,3.3
20191223,0,6.5
20191224,0,9.8
20191225,0,13.1
20191226,0.4,16
20191227,0,19.2
20191228,4.2,18.3
20191229,0.2,21.4
20191230,0,24.6
20191231,0,27.9
20200101,0,31.2
20200102,0,35.5
20200103,0,39.8
20200104,1.2,42.9
20200105,0,47.3
20200106,5,46.6
20200107,7.6,43.3
20200108,0,47.6
20200109,0.4,51.5
20200110,0,55.9
20200111,0,60.2
20200112,2.4,62.1
20200113,19,47.4
20200114,0,51.7
20200115,0,56.1
20200116,0,60.4
20200117,0,64.7
20200118,0,69
20200119,0,73.3
20200120,0,77.6
20200121,0,81.8
20200122,0,85.7
20200123,0,89.4
20200124,0,92.9
20200125,0,96.2
20200126,0,99.3
20200127,0,102.2
20200128,0,105
20200129,0.6,107
20200130,8.2,101.3
20200131,0.2,103.9
20200201,0.2,106.3
20200202,0,108.3
20200203,0.2,110
20200204,12,99.8
20200205,32,70.1
20200206,0.6,72.9
20200207,0.6,75.8
20200208,0,79.1
20200209,0.4,82
20200210,0,85.1
20200211,0,88
20200212,0,90.8
20200213,0,93.5
20200214,0,96.1
20200215,0,98.6
20200216,0,100.9
20200217,7.2,95.9
20200218,6.2,92.2
20200219,11.4,83.4
20200220,0,86.5
20200221,0,89.4
20200222,17.8,74.3
20200223,6.6,71.2
20200224,0,74.6
20200225,0,78
20200226,0,81.3
20200227,0,84.4
20200228,0,87.4
20200229,23.2,67
20200301,0.2,70.3
20200302,0,72.6
20200303,1.8,73.2
20200304,13,62.6
20200305,0,64.9
20200306,0,67.3
20200307,0,69.6
20200308,0,72
20200309,5.4,69
20200310,1.2,70.1
20200311,0.4,72.1
20200312,0,74.5
20200313,0,76.8
20200314,0,79.1
20200315,0,81.4
20200316,0,83.5
20200317,0,85.6
20200318,0,87.7
20200319,0,89.6
20200320,0,91.5
20200321,0,93.4
20200322,22.2,73
20200323,1.4,73.9
20200324,13.8,62.5
20200325,0.2,64.7
20200326,0,67
20200327,9.6,59.8
20200328,7.4,54.7
20200329,0,57.1
20200330,0,59.5
20200331,0,61.8
20200401,0,64.2
20200402,0,65.3
20200403,0,66.5
20200404,0,67.6
20200405,0,68.8
20200406,0,69.9
20200407,0.2,70.9
20200408,5.8,66.2
20200409,5.8,61.6
20200410,0,62.7
20200411,0,63.8
20200412,0,65
20200413,50.8,15.3
20200414,25.2,0
20200415,3.2,0
20200416,1.4,0
20200417,1.8,0
20200418,14.4,0
20200419,11.6,0
20200420,6.4,0
20200421,0.6,0.5
20200422,0.2,1.5
20200423,0.2,2.4
20200424,15.8,0
20200425,0,1.1
20200426,0.4,1.9
20200427,1.2,1.8
20200428,18.8,0
20200429,0,1.1
20200430,0,2.3
20200501,0,3.4
20200502,0,3.9
20200503,73.4,0
20200504,17.2,0
20200505,48.6,0
20200506,1.4,0
20200507,0.4,0.1
20200508,0,0.6
20200509,0,1.1
20200510,0,1.5
20200511,0,2
20200512,10.2,0
20200513,0,0.5
20200514,0,1
20200515,0,1.5
20200516,0,1.9
20200517,0,2.4
20200518,0,2.9
20200519,0,3.4
20200520,0,3.9
20200521,0,4.4
20200522,0,4.8
20200523,0,5.3
20200524,0,5.8
20200525,34,0
20200526,0,0.5
20200527,0,1
20200528,0,1.5
20200529,0,1.9
20200530,0,2.4
20200531,0,2.9
20200601,0,3.4
20200602,0,3.7
20200603,0,4
20200604,16.6,0
20200605,5.4,0
20200606,0,0.3
20200607,8.2,0
20200608,1.6,0
20200609,3.4,0
20200610,0,0.3
20200611,0,0.6
20200612,10.4,0
20200613,1,0
20200614,0,0.3
20200615,0,0.6
20200616,12,0
20200617,3.8,0
20200618,6.4,0
20200619,0.4,0
20200620,0,0.3
20200621,0,0.6
20200622,0,0.9
20200623,0,1.2
20200624,0,1.5
20200625,0,1.8
20200626,0.2,1.9
20200627,0,2.2
20200628,7,0
20200629,0.4,0
20200630,0,0.3
20200701,0,0.6
20200702,0,0.9
20200703,0,1.2
20200704,0,1.5
20200705,4.2,0
20200706,11.8,0
20200707,1.2,0
20200708,1.8,0
20200709,0,0.3
20200710,0.2,0.4
20200711,0,0.7
20200712,0.2,0.8
20200713,22.4,0
20200714,0,0.3
20200715,0,0.6
20200716,0,0.9
20200717,0,1.2
20200718,0,1.5
20200719,0,1.8
20200720,0.8,1.3
20200721,13,0
20200722,8,0
20200723,10.2,0
20200724,9.4,0
20200725,0,0.3
20200726,0,0.6
20200727,0,0.9
20200728,0,1.2
20200729,0.2,1.3
20200730,0,1.6
20200731,0,1.9
20200801,0,2.1
20200802,0,3
20200803,0,3.8
20200804,0.6,4
20200805,0.2,4.6
20200806,0.2,5.2
20200807,8.4,0
20200808,0,0.8
20200809,0,1.6
20200810,2.6,0
20200811,0,0.8
20200812,0,1.6
20200813,0,2.4
20200814,0,3.2
20200815,0,4
20200816,0,4.9
20200817,0,5.7
20200818,0,6.5
20200819,15.8,0
20200820,13.2,0
20200821,15.6,0
20200822,26.8,0
20200823,4.2,0
20200824,9.8,0
20200825,0.8,0
20200826,5.4,0
20200827,5.8,0
20200828,0.4,0.4
20200829,2.8,0
20200830,0.8,0
20200831,0.2,0.6
20200901,16.8,0
20200902,12.6,0
20200903,0,1.4
20200904,0,2.8
20200905,1.4,2.7
20200906,31,0
20200907,11.4,0
20200908,0,1.4
20200909,0,2.8
20200910,0.2,3.9
20200911,1.6,3.7
20200912,0,5.1
20200913,0,6.5
20200914,0.4,7.5
20200915,9.2,0
20200916,20.2,0
20200917,4.8,0
20200918,32,0
20200919,4.6,0
20200920,0,1.4
20200921,0,2.8
20200922,0,4.1
20200923,13.6,0
20200924,0,1.4
20200925,4.4,0
20200926,1.4,0
20200927,33.4,0
20200928,14.6,0
20200929,18.6,0
20200930,11.2,0
20201001,0.2,1.2
20201002,0,3.5
20201003,0,5.8
20201004,0.6,7.5
20201005,0,9.8
20201006,0,12.1
20201007,8.4,6
20201008,0.6,7.7
20201009,3.8,6.2
20201010,3.8,4.7
20201011,19.6,0
20201012,27.4,0
20201013,14.8,0
20201014,1.2,1.1
20201015,0,3.4
20201016,0,5.7
20201017,0.2,7.8
20201018,4.4,5.7
20201019,3.4,4.6
20201020,7.4,0
20201021,0,2.3
20201022,0,4.6
20201023,0,6.9
20201024,0,9.2
20201025,0,11.5
20201026,0,13.8
20201027,17.6,0
20201028,10,0
20201029,2.2,0.1
20201030,23.2,0
20201031,1.2,1.1
20201101,3.2,0.2
20201102,0,3.5
20201103,8.4,0
20201104,28.2,0
20201105,6.2,0
20201106,1.8,1.5
20201107,5.4,0
20201108,33.4,0
20201109,0.2,3.1
20201110,0,6.4
20201111,0,9.8
20201112,0,13.1
20201113,0.2,16.2
20201114,1.8,17.7
20201115,0,21
20201116,2,22.3
20201117,0.8,24.9
20201118,13.2,15
20201119,1,17.3
20201120,0,20.6
20201121,0,23.9
20201122,5.8,21.4
20201123,0,24.8
20201124,0.2,27.9
20201125,0,31.2
20201126,0,34.5
20201127,0,37.8
20201128,0.4,40.7
20201129,8.2,35.9
20201130,3,36.2
20201201,22.2,17.3
20201202,0,21.4
20201203,5,20.4
20201204,0.2,24.3
20201205,8,20.4
20201206,10.2,14.2
20201207,5.6,12.7
20201208,6.2,10.6
20201209,10.2,4.5
20201210,0,8.5
20201211,4,8.6
20201212,11.6,1.1
20201213,2,3.1
20201214,0,7.2
20201215,0,11.3
20201216,0,15.3
20201217,0,19.4
20201218,0,23.5
20201219,0,27.6
20201220,0,31.6
20201221,7.6,28.1
20201222,27.4,4.8
20201223,0.4,8.4
20201224,36.6,0
20201225,4.8,0
20201226,5.4,0
20201227,0.6,3.5
20201228,0,7.5
20201229,0,11.6
20201230,0,15.7
20201231,0,19.8
20210101,0,23.8
20210102,5,22.8
20210103,6.8,19.9
20210104,0.8,23.1
20210105,0,27.1
20210106,0,31
20210107,0.2,34.8
20210108,0,38.8
20210109,0.6,42.1
20210110,0,46.1
20210111,1,49
20210112,0,53
20210113,0,57
20210114,0,60.9
20210115,0,64.9
20210116,0,68.8
20210117,2,70.8
20210118,30.8,44
20210119,8.6,39.3
20210120,37.8,5.5
20210121,42.2,0
20210122,18.2,0
20210123,0,4
20210124,1.2,6.7
20210125,0.2,10.5
20210126,0,14.4
20210127,0,18.4
20210128,9.4,13
20210129,0,16.9
20210130,0,20.9
20210131,0,24.9
20210201,0,28.8
20210202,0,32.9
20210203,0,37
20210204,0,41.1
20210205,0,45.2
20210206,0,49.3
20210207,0,53.4
20210208,0,57.5
20210209,1,60.6
20210210,58,6.7
20210211,0,10.8
20210212,0,15
20210213,0,19.1
20210214,0,23.2
20210215,0,27.3
20210216,0,31.4
20210217,0,35.5
20210218,0,39.6
20210219,0,43.7
20210220,0,47.8
20210221,0,51.9
20210222,0,56
20210223,0,60.1
20210224,0,64.2
20210225,4.8,63.5
20210226,5,62.6
20210227,2,64.7
20210228,0,68.8
20210301,4.8,68.1
20210302,4.8,65.8
20210303,2.6,65.6
20210304,2.2,65.9
20210305,2.8,65.6
20210306,30.6,37.4
20210307,17,22.9
20210308,3.4,21.9
20210309,0,24.4
20210310,1,25.9
20210311,10.6,17.7
20210312,1.2,19
20210313,0,21.4
20210314,0,23.9
20210315,0,26.4
20210316,20.6,8.2
20210317,0.2,10.5
20210318,0,13
20210319,0,15.4
20210320,0,17.9
20210321,0,20.3
20210322,0,22.8
20210323,0,25.3
20210324,0,27.7
20210325,0,30.2
20210326,0,32.6
20210327,0,35.1
20210328,6.4,31.2
20210329,15.2,18.4
20210330,7.8,13.1
20210331,0,15.6
20210401,11.2,6.8
20210402,0,7.9
20210403,4.2,4.9
20210404,0.2,5.8
20210405,0,7
20210406,0,8.1
20210407,0,9.2
20210408,0,10.4
20210409,0,11.5
20210410,14,0
20210411,41.6,0
20210412,6.8,0
20210413,18,0
20210414,13.2,0
20210415,0,1.1
20210416,0.6,1.7
20210417,15,0
20210418,0.4,0.7
20210419,0.2,1.7
20210420,0,2.8
20210421,1.8,2.1
20210422,0,3.3
20210423,0.6,3.8
20210424,20.2,0
20210425,0.8,0.3
20210426,7.2,0
20210427,18.2,0
20210428,0,1.1
20210429,0,2.3
20210430,0,3.4
20210501,0,4.5
20210502,0,5
20210503,0,5.6
20210504,0,6.1
20210505,0.4,6.2
20210506,1.6,5.1
20210507,0,5.6
20210508,0,6.1
20210509,19.6,0
20210510,6.8,0
20210511,32.2,0
20210512,15.6,0
20210513,0.2,0.3
20210514,0,0.8
20210515,24.2,0
20210516,0.8,0
20210517,9.4,0
20210518,14.8,0
20210519,14.6,0
20210520,2.2,0
20210521,0,0.5
20210522,0.2,0.8
20210523,0,1.3
20210524,0,1.8
20210525,0,2.3
20210526,0,2.8
20210527,0,3.3
20210528,1.4,2.4
20210529,8,0
20210530,1.8,0
20210531,16.6,0
20210601,0.2,0.3
20210602,0,0.6
20210603,0,0.8
20210604,0,1.1
20210605,0.2,1.2
20210606,37.4,0
20210607,6.2,0
20210608,1,0
20210609,0,0.3
20210610,0.2,0.3
20210611,0,0.6
20210612,0.2,0.7
20210613,0.2,0.7
20210614,27.8,0
20210615,2.6,0
20210616,7.2,0
20210617,1.8,0
20210618,18.4,0
20210619,0.2,0.1
20210620,0.8,0
20210621,0,0.3
20210622,0,0.5
20210623,0,0.8
20210624,0,1.1
20210625,0,1.3
20210626,38.2,0
20210627,14.4,0
20210628,16.6,0
20210629,13.6,0
20210630,0.2,0.1
20210701,0,0.3
20210702,0,0.6
20210703,0,0.9
20210704,0,1.1
20210705,0,1.4
20210706,0.6,1.1
20210707,54.4,0
20210708,3.6,0
20210709,2.8,0
20210710,6.4,0
20210711,0.2,0.1
20210712,0,0.3
20210713,0,0.6
20210714,0,0.9
20210715,6,0
20210716,55,0
20210717,95.4,0
20210718,48.4,0
20210719,8,0
20210720,0.4,0
20210721,0,0.3
20210722,25.8,0
20210723,5.2,0
20210724,0,0.3
20210725,0.2,0.3
20210726,2.8,0
20210727,34,0
20210728,5.2,0
20210729,0,0.3
20210730,1,0
20210731,0,0.3
20210801,0,0.5
20210802,1.4,0
20210803,6.2,0
20210804,0,0.7
20210805,8,0
20210806,13.8,0
20210807,3.2,0
20210808,23.6,0
20210809,3.2,0
20210810,0,0.7
20210811,1.6,0
20210812,0,0.7
20210813,16.6,0
20210814,4.6,0
20210815,6.8,0
20210816,0,0.7
20210817,31,0
20210818,18,0
20210819,0.4,0.3
20210820,5.2,0
20210821,0,0.7
20210822,0,1.4
20210823,8.6,0
20210824,1.6,0
20210825,0,0.7
20210826,1,0.4
20210827,26.2,0
20210828,9.4,0
20210829,0.6,0.1
20210830,0.2,0.6
20210831,0,1.3
20210901,0,2.1
20210902,0,3.4
20210903,0,4.8
20210904,0,6.1
20210905,0,7.4
20210906,0.2,8.6
20210907,39.2,0
20210908,29.8,0
20210909,6.6,0
20210910,10,0
20210911,31,0
20210912,4,0
20210913,30.8,0
20210914,7,0
20210915,0,1.3
20210916,0,2.7
20210917,0,4
20210918,0,5.4
20210919,1.2,5.5
20210920,18.6,0
20210921,0,1.3
20210922,21.8,0
20210923,4,0
20210924,10.4,0
20210925,1.8,0
20210926,42.2,0
20210927,3.4,0
20210928,1.2,0.1
20210929,0.4,1.1
20210930,9,0
20211001,1.2,0.1
20211002,0.4,2.2
20211003,0,4.6
20211004,6.4,0.6
20211005,4.6,0
20211006,0,2.4
20211007,38.2,0
20211008,0.2,2.2
20211009,2.8,1.8
20211010,2.8,1.5
20211011,0.4,3.5
20211012,34,0
20211013,4.6,0
20211014,0,2.4
20211015,0,4.8
20211016,0,7.3
20211017,19,0
20211018,41.4,0
20211019,1.8,0.6
20211020,0.4,2.6
20211021,0,5.1
20211022,0,7.5
20211023,0,9.9
20211024,0,12.3
20211025,0.2,14.6
20211026,0,17
20211027,10.6,8.8
20211028,0,11.2
20211029,27,0
20211030,7.8,0
20211031,5,0
20211101,8.2,0
20211102,0.8,3
20211103,0,6.7
20211104,0,10.5
20211105,0,14.2
20211106,0,18
20211107,0,21.7
20211108,0,25.5
20211109,0,29.2
20211110,0,33
20211111,1.8,34.9
20211112,0,38.7
20211113,3,39.4
20211114,13.2,30
20211115,9,24.7
20211116,22.6,5.9
20211117,12.2,0
20211118,1.4,2.4
20211119,0,6.1
20211120,0,9.9
20211121,0,13.6
20211122,19.4,0
20211123,0,3.8
20211124,0,7.5
20211125,0,11.3
20211126,0,15
20211127,0,18.8
20211128,49.6,0
20211129,10.4,0
20211130,0,3.8
20211201,0,7.5
20211202,0,11
20211203,19.4,0
20211204,12.8,0
20211205,3.2,0.3
20211206,20.2,0
20211207,7.4,0
20211208,0.4,3.1
20211209,9.8,0
20211210,12,0
20211211,8.6,0
20211212,5.6,0
20211213,0.8,2.7
20211214,0.6,5.6
20211215,11.8,0
20211216,0.2,3.3
20211217,2.4,4.4
20211218,2,5.9
20211219,0.4,9.1
20211220,0,12.6
20211221,7.8,8.3
20211222,0,11.8
20211223,2.8,12.5
20211224,0,16
20211225,0,19.5
20211226,2,21
20211227,0,24.6
20211228,13.6,14.5
20211229,7.4,10.6
20211230,0.6,13.5
20211231,0,17
20220101,0,20.5
20220102,0,25.7
20220103,0,30.8
20220104,0,36
20220105,0,41.1
20220106,0,46.2
20220107,0,51.4
20220108,0,56.5
20220109,0,61.7
20220110,0.4,66.4
20220111,0.2,71.4
20220112,0,76.5
20220113,0,81.6
20220114,0,86.3
20220115,0,90.6
20220116,0,94.7
20220117,0,98.5
20220118,0,102
20220119,0.2,105.1
20220120,19.4,88.8
20220121,2.2,90.8
20220122,0,94.9
20220123,0,98.6
20220124,0,102.2
20220125,0,105.4
20220126,4.2,104.3
20220127,0.6,106.8
20220128,0,109.8
20220129,0,112.6
20220130,0,115.1
20220131,0,117.5
20220201,0,119.7
20220202,2.2,118.9
20220203,51.8,68.5
20220204,22,49.8
20220205,50,3.2
20220206,3.4,3.1
20220207,0,6.5
20220208,0,9.8
20220209,13.4,0
20220210,166.6,0
20220211,8.8,0
20220212,0,3.4
20220213,42,0
20220214,1.2,2.2
20220215,0,5.5
20220216,0,8.9
20220217,0,12.2
20220218,0,15.6
20220219,0,18.9
20220220,21,1.3
20220221,0,4.6
20220222,0,8
20220223,0,11.3
20220224,1.2,13.5
20220225,0,16.8
20220226,0,20.2
20220227,0,23.5
20220228,0,26.9
20220301,0,30.2
20220302,0,33.4
20220303,0,36.5
20220304,0,39.7
20220305,0,42.8
20220306,0,46
20220307,0,49.2
20220308,0,52.3
20220309,0,55.5
20220310,0,58.7
20220311,0,61.8
20220312,3.6,61.4
20220313,0,64.5
20220314,0,67.7
20220315,0,70.9
20220316,0,74
20220317,0,77.2
20220318,0,80.3
20220319,0,83.2
20220320,0,86
20220321,1,87.7
20220322,2.2,88.1
20220323,15.8,74.9
20220324,1,77.1
20220325,0.2,80
20220326,0,82.9
20220327,0,85.8
20220328,0,88.5
20220329,0,91.1
20220330,0,93.5
20220331,0,95.9
20220401,0,98.2
20220402,0,99.2
20220403,0,100.2
20220404,0,101.2
20220405,0,102.1
20220406,5.6,97.5
20220407,15,83.5
20220408,0,84.8
20220409,0,86.1
20220410,0,87.3
20220411,0,88.6
20220412,0.8,89
20220413,10.4,79.8
20220414,0,81.1
20220415,0,82.5
20220416,0,83.8
20220417,0,85.1
20220418,0,86.4
20220419,0,87.6
20220420,9.8,79
20220421,30.8,49.6
20220422,22.2,28.9
20220423,3.4,27
20220424,3,25.4
20220425,6.4,20.5
20220426,0,22
20220427,0,23.5
20220428,0,24.9
20220429,0,26.4
20220430,0,27.9
20220501,0.2,29.1
20220502,17.4,12.2
20220503,3.8,8.9
20220504,0.2,9.2
20220505,0,9.7
20220506,0,10.2
20220507,0,10.7
20220508,0,11.2
20220509,33,0
20220510,0.4,0.1
20220511,0,0.6
20220512,0,1.1
20220513,0,1.6
20220514,1.2,0.9
20220515,4,0
20220516,9.2,0
20220517,0,0.5
20220518,0,1
20220519,9.4,0
20220520,32.8,0
20220521,21.4,0
20220522,16,0
20220523,12.4,0
20220524,0,0.5
20220525,1,0
20220526,3.2,0
20220527,0,0.5
20220528,0,1
20220529,0,1.5
20220530,10,0
20220531,13.2,0
20220601,59.8,0
20220602,39.4,0
20220603,4.4,0
20220604,1.8,0
20220605,0,0.2
20220606,2.4,0
20220607,1.4,0
20220608,14.8,0
20220609,32.6,0
20220610,29.8,0
20220611,20.6,0
20220612,16.4,0
20220613,33.6,0
20220614,19.8,0
20220615,21.2,0
20220616,11.6,0
20220617,3.6,0
20220618,0.2,0
20220619,0,0.2
20220620,0,0.4
20220621,0,0.6
20220622,0,0.8
20220623,0,1
20220624,0.2,1
20220625,17,0
20220626,4.6,0
20220627,0,0.2
20220628,14.8,0
20220629,0.6,0
20220630,0,0.2
20220701,4.4,0
20220702,0.2,0.1
20220703,0,0.5
20220704,0.6,0.2
20220705,0,0.5
20220706,0,0.9
20220707,0,1.2
20220708,10.8,0
20220709,34.2,0
20220710,17,0
20220711,0.2,0.1
20220712,9.2,0
20220713,6.6,0
20220714,0.8,0
20220715,0,0.3
20220716,2.6,0
20220717,0,0.3
20220718,0.8,0
20220719,20.8,0
20220720,21.8,0
20220721,3,0
20220722,0,0.3
20220723,0,0.7
20220724,0,1
20220725,0,1.3
20220726,14,0
20220727,2.2,0
20220728,3.8,0
20220729,10.8,0
20220730,2,0
20220731,48.8,0
20220801,0.2,0.1
20220802,0.6,0.3
20220803,13.6,0
20220804,1.2,0
20220805,0,0.8
20220806,4,0
20220807,40.8,0
20220808,5.4,0
20220809,0.2,0.6
20220810,0,1.3
20220811,0,2.1
20220812,0,2.9
20220813,0,3.7
20220814,0,4.4
20220815,0,5.2
20220816,20.6,0
20220817,35.2,0
20220818,52.4,0
20220819,12.6,0
20220820,56.4,0
20220821,6.2,0
20220822,10,0
20220823,0,0.8
20220824,0,1.5
20220825,0,2.3
20220826,2,1.1
20220827,0,1.9
20220828,0,2.6
20220829,0,3.4
20220830,0,4.2
20220831,0.2,4.7
20220901,0.2,5.3
20220902,0,6.8
20220903,18.2,0
20220904,8,0
20220905,1.6,0
20220906,0.2,1.3
20220907,0,2.9
20220908,0,4.4
20220909,0,6
20220910,0,7.5
20220911,0,9
20220912,0,10.6
20220913,8.8,3.3
20220914,12.6,0
20220915,0,1.5
20220916,1.4,1.7
20220917,0,3.2
20220918,0,4.8
20220919,2.8,3.5
20220920,9,0
20220921,4.8,0
20220922,2.2,0
20220923,0,1.5
20220924,0,3.1
20220925,0,4.6
20220926,0,6.2
20220927,0,7.7
20220928,1.2,8
20220929,17.4,0
20220930,1,0.5
20221001,0,2.1
20221002,0,4.5
20221003,0,6.9
20221004,0,9.3
20221005,10.2,1.5
20221006,9.6,0
20221007,2,0.4
20221008,0,2.8
20221009,0,5.2
20221010,0.2,7.4
20221011,12.6,0
20221012,0,2.4
20221013,0,4.8
20221014,0,7.2
20221015,0,9.6
20221016,0,12
20221017,0,14.4
20221018,0,16.8
20221019,2.8,16.4
20221020,3.4,15.4
20221021,0.2,17.6
20221022,0.2,19.8
20221023,0,22.2
20221024,0,24.6
20221025,3.2,23.8
20221026,4.6,21.6
20221027,0,24.1
20221028,0.6,25.9
20221029,32.6,0
20221030,17.2,0
20221031,0,2.4
20221101,5.4,0
20221102,4.6,0
20221103,53.4,0
20221104,0.2,3
20221105,1,5.2
20221106,0,8.4
20221107,0,11.6
20221108,0,14.8
20221109,0,18
20221110,0,21.2
20221111,0,24.4
20221112,11.8,15.8
20221113,8.8,10.2
20221114,0,13.4
20221115,0,16.6
20221116,0,19.8
20221117,0,23
20221118,2.4,23.8
20221119,24.8,2.3
20221120,13.6,0
20221121,1.6,1.6
20221122,12.6,0
20221123,12.8,0
20221124,19.6,0
20221125,10.6,0
20221126,5.8,0
20221127,7.8,0
20221128,13.8,0
20221129,0.2,3
20221130,4.8,1.4
20221201,4,0.6
20221202,0,4.9
20221203,0,9.2
20221204,0,13.6
20221205,0,17.9
20221206,0,22.2
20221207,0,26.5
20221208,0,30.8
20221209,0,35.1
20221210,22.2,17.3
20221211,0,21.6
20221212,7.6,18.3
20221213,0,22.6
20221214,0,26.9
20221215,6.8,24.4
20221216,7.8,21
20221217,5.6,19.7
20221218,0,24
20221219,27.8,0.5
20221220,4.6,0.2
20221221,4,0.5
20221222,2.6,2.2
20221223,0.2,6.4
20221224,0,10.7
20221225,0,15
20221226,0,19.3
20221227,0,23.6
20221228,2.4,25.5
20221229,0,29.9
20221230,0,34.2
20221231,0,38.5
20230101,0,42.8
20230102,0,47.5
20230103,0,52.1
20230104,0,56.7
20230105,0.4,61
20230106,18.8,46.8
20230107,2,49.5
20230108,0,54.1
20230109,0,58.8
20230110,0,63.4
20230111,0,68.1
20230112,0,72.7
20230113,0,77.4
20230114,0.2,81.7
20230115,5.6,80.3
20230116,0,84.6
20230117,0,88.7
20230118,0,92.5
20230119,0,96
20230120,0,99.4
20230121,0.8,101.7
20230122,0,104.7
20230123,0,107.5
20230124,0,110.1
20230125,0,112.6
20230126,7.8,107.1
20230127,0.4,109.4
20230128,0,111.9
20230129,0,114.2
20230130,1,115.5
20230131,11,106.6
20230201,0.2,109.1
20230202,14.6,96.5
20230203,5.8,93.4
20230204,0.8,95.4
20230205,2.6,95.5
20230206,11.8,86.4
20230207,0.4,89.2
20230208,2.6,89.6
20230209,0.2,92.4
20230210,0,95.3
20230211,0,98
20230212,0,100.6
20230213,0,103.1
20230214,0,105.4
20230215,0,107.6
20230216,0,109.7
20230217,0,111.8
20230218,0,113.7
20230219,0,115.5
20230220,0,117.2
20230221,0,118.8
20230222,0,120.4
20230223,12.4,109.5
20230224,0,111.5
20230225,0,113.4
20230226,0,115.2
20230227,0,116.9
20230228,0,118.6
20230301,0,120.2
20230302,0.4,120.7
20230303,0,121.5
20230304,2.8,119.6
20230305,0,120.5
20230306,0.6,120.8
20230307,0,121.7
20230308,0,122.6
20230309,46,77.4
20230310,8.8,70.8
20230311,0.4,72.6
20230312,0,74.9
20230313,7.4,69.8
20230314,4,68.1
20230315,0,70.3
20230316,0,72.6
20230317,45.2,29.7
20230318,25.4,6.5
20230319,0,8.8
20230320,0,11.1
20230321,11.4,1.9
20230322,5.4,0
20230323,0,2.3
20230324,0,4.5
20230325,0,6.8
20230326,5.2,3.9
20230327,0,6.1
20230328,5,3.4
20230329,8.6,0
20230330,0,2.3
20230331,0,4.5
20230401,21.6,0
20230402,8.6,0
20230403,0,1.2
20230404,0,2.4
20230405,0,3.7
20230406,2,2.9
20230407,0,4.1
20230408,0,5.3
20230409,0,6.5
20230410,12.4,0
20230411,40.6,0
20230412,21.2,0
20230413,18,0
20230414,19,0
20230415,0,1.2
20230416,0,2.4
20230417,0,3.7
20230418,0,4.9
20230419,26.2,0
20230420,0,1.2
20230421,13.8,0
20230422,7.4,0
20230423,0,1.2
20230424,5.6,0
20230425,0.6,0.6
20230426,12,0
20230427,0.2,1
20230428,0,2.2
20230429,0,3.5
20230430,0.2,4.5
20230501,0,5.7
20230502,4.6,1.6
20230503,34.6,0
20230504,29.4,0
20230505,0,0.5
20230506,26.8,0
20230507,22.4,0
20230508,8.4,0
20230509,15,0
20230510,35,0
20230511,21.2,0
20230512,0,0.5
20230513,0,1
20230514,0,1.6
20230515,6.8,0
20230516,0,0.5
20230517,0.2,0.8
20230518,1.4,0
20230519,3.8,0
20230520,2.6,0
20230521,2.2,0
20230522,2.6,0
20230523,0,0.5
20230524,0,1
20230525,0,1.6
20230526,0,2.1
20230527,6,0
20230528,0.8,0
20230529,1.6,0
20230530,21.4,0
20230531,15.4,0
20230601,0.2,0.3
20230602,12.6,0
20230603,9,0
20230604,0,0.3
20230605,15.8,0
20230606,0,0.3
20230607,0.2,0.4
20230608,0,0.7
20230609,0,1.1
20230610,0,1.4
20230611,0,1.7
20230612,0.2,1.8
20230613,0,2.1
20230614,0,2.4
20230615,0,2.7
20230616,0,3
20230617,0.2,3.2
20230618,0,3.5
20230619,0.2,3.6
20230620,0,3.9
20230621,0.4,3.8
20230622,0,4.1
20230623,0,4.4
20230624,1.2,3.6
20230625,2.2,1.7
20230626,2,0
20230627,21.6,0
20230628,0.2,0.1
20230629,3,0
20230630,11.4,0
20230701,20.6,0
20230702,13.6,0
20230703,9.8,0
20230704,4.4,0
20230705,7.4,0
20230706,0.4,0
20230707,0,0.3
20230708,4.6,0
20230709,0.8,0
20230710,0.4,0
20230711,0,0.3
20230712,3.4,0
20230713,12.8,0
20230714,18.4,0
20230715,6.6,0
20230716,0,0.3
20230717,6.4,0
20230718,0.8,0
20230719,0.8,0
20230720,0.4,0
20230721,0,0.3
